"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0190089601","BlueTriton Brands Inc","8.67","2021-12-06","000053924401","1000013890","DPH Public Health"
"0191031901","BlueTriton Brands Inc","26.35","2021-12-14","000053924401","1000013890","DPH Public Health"
"0192184401","BlueTriton Brands Inc","67.39","2021-12-22","000053924401","1000013890","DPH Public Health"
"0192189501","BlueTriton Brands Inc","8.67","2021-12-22","000053924401","1000013890","DPH Public Health"
"0192263501","BlueTriton Brands Inc","41.03","2021-12-23","000053924401","1000013890","DPH Public Health"
"0196316701","BlueTriton Brands Inc","26.35","2022-02-02","000053924401","1000013890","DPH Public Health"
"0196366701","BlueTriton Brands Inc","55.71","2022-02-02","000053924401","1000013890","DPH Public Health"
"0196403901","BlueTriton Brands Inc","41.03","2022-02-02","000053924401","1000013890","DPH Public Health"
"0196409701","BlueTriton Brands Inc","7.34","2022-02-02","000053924401","1000013890","DPH Public Health"
"0200134001","BlueTriton Brands Inc","33.69","2022-02-28","000053924401","1000013890","DPH Public Health"
"0200148201","BlueTriton Brands Inc","52.71","2022-02-28","000053924401","1000013890","DPH Public Health"
"0200152301","BlueTriton Brands Inc","33.69","2022-02-28","000053924401","1000013890","DPH Public Health"
"0202259701","BlueTriton Brands Inc","70.39","2022-03-16","000053924401","1000013890","DPH Public Health"
"0205337301","BlueTriton Brands Inc","158.47","2022-04-11","000053924401","1000013890","DPH Public Health"
"0205341901","BlueTriton Brands Inc","4.33","2022-04-11","000053924401","1000013890","DPH Public Health"
"0206278301","BlueTriton Brands Inc","67.39","2022-05-24","000053924401","1000013890","DPH Public Health"
"0206967001","BlueTriton Brands Inc","85.07","2022-04-22","000053924401","1000013890","DPH Public Health"
"0206983701","BlueTriton Brands Inc","107.09","2022-04-22","000053924401","1000013890","DPH Public Health"
"0207184601","BlueTriton Brands Inc","48.37","2022-04-25","000053924401","1000013890","DPH Public Health"
"0207205601","BlueTriton Brands Inc","4.33","2022-04-25","000053924401","1000013890","DPH Public Health"
"0212415901","BlueTriton Brands Inc","58.72","2022-06-07","000053924401","1000013890","DPH Public Health"
"0212419001","BlueTriton Brands Inc","236.21","2022-06-07","000053924401","1000013890","DPH Public Health"
"0212421101","BlueTriton Brands Inc","143.79","2022-06-07","000053924401","1000013890","DPH Public Health"
"0212423201","BlueTriton Brands Inc","77.73","2022-06-07","000053924401","1000013890","DPH Public Health"
"0191708701","SOUTHERN CALIFORNIA EDISON CO.","195500","2021-12-21","000053924501","1000020003","PUC Public Utilities Commsn"
"0190833701","COMCAST OF CA/COLORADO/WASHINGTON I INC","835.54","2021-12-13","000053924601","","DEM Emergency Management"
"0182749901","FSP PPM MANAGEMENT LLC","111074.92","2021-10-02","000053924801","1000007114","AIR Airport Commission"
"0181161901","STAPLES BUSINESS ADVANTAGE","98.73","2021-10-05","000053924901","1000018782","MTA Municipal Transprtn Agncy"
